event_time_ns,event_time,instrument_id,signal,close,vwm_bar_close,vwm_bar_high,vwm_bar_low,vwm_bar_volume
1717276500000000000,2024-06-01T21:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67791.1,67791.1,67840.0,67752.7,304.516
1717277400000000000,2024-06-01T21:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67840.0,67840.0,67850.0,67783.0,287.509
1717278300000000000,2024-06-01T21:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67787.6,67787.6,67852.0,67760.3,275.163
1717279200000000000,2024-06-01T22:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67818.9,67818.9,67847.8,67729.6,655.625
1717280100000000000,2024-06-01T22:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67874.2,67874.2,67921.3,67793.8,573.566
1717281000000000000,2024-06-01T22:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67807.5,67807.5,67874.3,67795.9,279.866
1717281900000000000,2024-06-01T22:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67798.3,67798.3,67841.6,67798.3,202.769
1717282800000000000,2024-06-01T23:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67812.9,67812.9,67860.0,67798.0,1056.023
1717283700000000000,2024-06-01T23:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67783.7,67783.7,67831.5,67783.7,267.854
1717284600000000000,2024-06-01T23:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67762.3,67762.3,67797.3,67762.3,313.544
1717285500000000000,2024-06-01T23:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67799.2,67799.2,67809.6,67756.2,345.18
1717286400000000000,2024-06-02T00:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67790.5,67790.5,67810.9,67776.1,438.17
1717287300000000000,2024-06-02T00:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67829.8,67829.8,67848.2,67790.5,373.547
1717288200000000000,2024-06-02T00:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67849.9,67849.9,67850.0,67789.2,194.687
1717289100000000000,2024-06-02T00:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67922.8,67922.8,67951.7,67830.7,936.718
1717290000000000000,2024-06-02T01:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67840.5,67840.5,67940.0,67788.0,485.399
1717290900000000000,2024-06-02T01:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67903.6,67903.6,67915.9,67805.0,422.474
1717291800000000000,2024-06-02T01:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67849.5,67849.5,67913.3,67826.1,314.757
1717292700000000000,2024-06-02T01:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67790.0,67790.0,67862.2,67728.4,882.716
1717293600000000000,2024-06-02T02:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67820.3,67820.3,67826.4,67749.1,349.63
1717294500000000000,2024-06-02T02:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67790.8,67790.8,67845.3,67790.7,240.034
1717295400000000000,2024-06-02T02:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67778.0,67778.0,67821.3,67757.3,544.455
1717296300000000000,2024-06-02T02:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,67764.2,67764.2,67784.6,67661.9,807.69
1717297200000000000,2024-06-02T03:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67829.9,67829.9,67832.5,67754.5,566.646
1717298100000000000,2024-06-02T03:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67829.8,67829.8,67837.7,67776.6,268.833
1717299000000000000,2024-06-02T03:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67840.1,67840.1,67847.4,67817.5,240.949
1717299900000000000,2024-06-02T03:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67826.1,67826.1,67844.5,67821.2,158.669
1717300800000000000,2024-06-02T04:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67795.8,67795.8,67826.1,67771.9,278.339
1717301700000000000,2024-06-02T04:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67849.9,67849.9,67850.0,67795.7,230.4
1717302600000000000,2024-06-02T04:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,67876.0,67876.0,67879.9,67842.4,244.351
1717303500000000000,2024-06-02T04:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67889.8,67889.8,67889.8,67838.9,304.935
1717304400000000000,2024-06-02T05:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67859.8,67859.8,67910.0,67850.0,437.433
1717305300000000000,2024-06-02T05:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67844.0,67844.0,67859.9,67820.5,172.272
1717306200000000000,2024-06-02T05:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67789.9,67789.9,67844.0,67781.0,350.183
1717307100000000000,2024-06-02T05:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67746.3,67746.3,67832.7,67746.2,554.992
1717308000000000000,2024-06-02T06:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67819.6,67819.6,67819.6,67738.0,311.556
1717308900000000000,2024-06-02T06:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67808.8,67808.8,67825.3,67798.0,219.916
1717309800000000000,2024-06-02T06:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67816.4,67816.4,67854.5,67808.7,209.738
1717310700000000000,2024-06-02T06:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67865.1,67865.1,67872.3,67805.8,237.401
1717311600000000000,2024-06-02T07:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67834.4,67834.4,67873.2,67803.3,237.382
1717312500000000000,2024-06-02T07:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67774.2,67774.2,67834.3,67750.1,352.779
1717313400000000000,2024-06-02T07:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67784.0,67784.0,67793.1,67743.8,558.607
